126
dalaranprison,0,22114.01, 36.30, -14599.97, -0.00, 0.00, 1.00
cliffrock06,1,22034.93, 119.66, -14514.72, 0.00, 0.00, 0.00
cliffrock06,1,22077.33, 120.90, -14491.27, 0.89, 0.00, 0.45
cliffrock06,1,22109.26, 115.99, -14457.65, -0.84, 0.00, 0.54
cliffrock06,1,22149.82, 114.45, -14422.79, -0.43, 0.00, -0.90
cliffrock06,1,22186.13, 107.77, -14394.82, 1.00, 0.00, -0.03
cliffrock06,1,22227.02, 107.02, -14373.77, 0.81, 0.00, -0.59
cliffrock06,1,22280.45, 109.55, -14359.35, 0.00, 0.00, 0.00
cliffrock06,1,22323.86, 106.98, -14357.39, 0.00, 0.00, 0.00
cliffrock06,1,22382.45, 107.85, -14361.23, 0.95, 0.00, -0.32
cliffrock06,1,22430.75, 105.91, -14381.22, 0.96, 0.00, 0.27
cliffrock06,1,22465.31, 99.60, -14400.96, 0.00, 0.00, 0.00
cliffrock06,1,22046.32, 116.74, -14683.46, 0.00, 0.00, 0.00
cliffrock06,1,22082.22, 113.34, -14714.44, -1.00, 0.00, -0.03
cliffrock06,1,22112.56, 117.53, -14755.49, -0.30, 0.00, 0.96
cliffrock06,1,22134.09, 112.52, -14796.21, 0.52, 0.00, -0.86
cliffrock06,1,22161.83, 112.70, -14811.55, -0.78, 0.00, 0.62
cliffrock06,1,22200.75, 81.79, -14824.55, 0.86, 0.00, -0.50
cliffrock06,1,22219.92, 110.64, -14828.46, 0.00, 0.00, 0.00
cliffrock06,1,22269.69, 109.03, -14832.87, 0.93, 0.00, 0.36
cliffrock06,1,22311.36, 97.84, -14834.17, 0.00, 0.00, 0.00
cliffrock06,1,22362.05, 111.12, -14831.65, -0.84, 0.00, 0.54
cliffrock06,1,22319.66, 121.78, -14834.47, 0.52, 0.00, -0.86
cliffrock07,1,22401.87, 114.18, -14809.43, 0.00, 0.00, 0.00
cliffrock08,1,22413.96, 117.04, -14800.12, -0.78, 0.00, 0.62
cliffrock06,1,22402.05, 118.30, -14807.01, 0.00, 0.00, 0.00
cliffrock06,1,22441.80, 113.19, -14784.16, 0.00, 0.00, 0.00
cliffrock06,1,22480.14, 103.56, -14742.25, 0.00, 0.00, 0.00
bb05,1,22090.28, 43.50, -14610.67, 0.00, 0.00, 0.00
bb05,1,22044.73, 43.74, -14610.94, -0.00, 0.00, 1.00
bb05,1,22091.96, 42.00, -14588.49, 0.00, 0.00, 0.00
bb05,1,22039.52, 41.14, -14588.82, 0.00, 0.00, 0.00
bb02,1,22123.31, 40.20, -14588.26, 0.99, 0.00, 0.17
bb02,1,22127.23, 39.90, -14582.78, 0.00, 0.00, 0.00
bb02,1,22128.26, 39.90, -14573.05, 0.10, 0.00, 1.00
bb02,1,22131.96, 39.90, -14563.70, 0.56, 0.00, 0.83
bb02,1,22136.30, 39.90, -14554.62, 0.30, 0.00, 0.96
bb02,1,22138.95, 39.60, -14545.40, 0.39, 0.00, 0.92
bb02,1,22145.91, 29.10, -14544.17, -0.78, 0.00, 0.62
bb02,1,22154.45, 29.17, -14551.70, -0.64, 0.00, 0.76
bb02,1,22160.90, 28.80, -14560.49, -0.56, 0.00, 0.83
bb02,1,22166.13, 29.10, -14570.18, -0.30, 0.00, 0.96
bb02,1,22168.57, 29.10, -14579.78, -0.30, 0.00, 0.96
bb02,1,22168.67, 28.80, -14623.03, 0.30, 0.00, 0.96
bb02,1,22164.39, 28.80, -14632.69, 0.48, 0.00, 0.88
bb02,1,22158.84, 28.80, -14641.22, 0.56, 0.00, 0.83
bb02,1,22151.91, 28.80, -14649.66, 0.72, 0.00, 0.70
bb02,1,22144.33, 28.80, -14656.75, 0.72, 0.00, 0.70
bb02,1,22119.93, 39.00, -14611.53, -0.99, 0.00, 0.17
bb02,1,22126.41, 39.30, -14617.68, -0.00, 0.00, 1.00
bb02,1,22126.72, 39.00, -14628.15, -0.20, 0.00, 0.98
bb02,1,22131.49, 39.00, -14636.49, -0.78, 0.00, 0.62
bb02,1,22136.45, 38.70, -14643.85, -0.30, 0.00, 0.96
bb02,1,22139.65, 38.40, -14652.94, -0.48, 0.00, 0.88
bb05,1,22168.03, 28.80, -14515.78, -0.64, 0.00, 0.76
bb02,1,22147.17, 28.80, -14537.34, 0.39, 0.00, 0.92
bb02,1,22192.67, 28.80, -14499.59, 1.00, 0.00, 0.07
bb02,1,22202.34, 29.70, -14497.18, -0.95, 0.00, -0.32
bb02,1,22211.83, 33.81, -14493.13, -0.86, 0.00, -0.50
bb02,1,22219.12, 38.10, -14486.60, -0.52, 0.00, -0.86
bb05,1,22247.19, 45.17, -14481.05, -0.10, 0.00, 1.00
bb02,1,22271.03, 45.11, -14485.85, 0.00, 0.00, 0.00
bb02,1,22273.01, 45.00, -14495.55, -0.48, 0.00, 0.88
bb02,1,22280.37, 45.30, -14500.26, -0.99, 0.00, 0.17
bb02,1,22290.13, 47.10, -14500.79, 0.96, 0.00, 0.27
bb02,1,22299.96, 50.10, -14501.86, 0.86, 0.00, -0.50
bb02,1,22308.38, 50.70, -14507.57, -0.78, 0.00, 0.62
bb02,1,22315.77, 51.60, -14514.42, -0.78, 0.00, 0.62
bb02,1,22322.95, 52.20, -14521.46, -0.72, 0.00, 0.70
bb02,1,22329.14, 52.50, -14529.82, -0.56, 0.00, 0.83
bb02,1,22327.33, 52.80, -14537.80, 0.10, 0.00, 1.00
bb02,1,22329.60, 53.40, -14546.29, -0.56, 0.00, 0.83
bb02,1,22335.86, 53.70, -14553.63, -0.72, 0.00, 0.70
bb02,1,22344.10, 53.38, -14556.11, -1.00, 0.00, -0.03
bb05,1,22355.53, 54.30, -14581.39, 0.96, 0.00, 0.27
bb02,1,22349.08, 53.70, -14578.18, 0.78, 0.00, 0.62
bb02,1,22348.83, 53.40, -14587.58, -0.78, 0.00, 0.62
bb04,1,22344.79, 53.40, -14582.69, 0.00, 0.00, 0.00
bb05,1,22357.49, 53.70, -14594.17, 1.00, 0.00, 0.07
bb02,1,22351.30, 53.70, -14610.48, 0.89, 0.00, 0.45
bb02,1,22350.99, 53.40, -14619.07, -0.84, 0.00, 0.54
bb04,1,22346.84, 53.70, -14614.71, 0.20, 0.00, 0.98
bb05,1,22351.96, 54.00, -14627.23, -0.96, 0.00, 0.27
bb02,1,22342.19, 54.00, -14642.57, 1.00, 0.00, 0.07
bb02,1,22333.47, 53.70, -14646.71, 0.72, 0.00, 0.70
bb02,1,22329.56, 49.80, -14652.28, 0.56, 0.00, 0.83
bb02,1,22324.99, 45.20, -14660.94, 0.39, 0.00, 0.92
bb02,1,22323.57, 44.10, -14671.29, -0.00, 0.00, 1.00
bb05,1,22307.08, 44.40, -14692.50, -0.64, 0.00, 0.76
bb02,1,22284.21, 44.10, -14703.41, 0.95, 0.00, -0.32
bb02,1,22274.58, 43.80, -14701.58, 1.00, 0.00, -0.03
bb02,1,22264.53, 41.40, -14702.20, 0.99, 0.00, 0.17
bb02,1,22255.02, 38.40, -14704.86, 0.93, 0.00, 0.36
bb02,1,22248.80, 37.20, -14711.67, 0.48, 0.00, 0.88
bb05,1,22220.94, 37.14, -14714.23, 0.10, 0.00, 1.00
bb04,1,22227.48, 37.00, -14712.11, 0.00, 0.00, 0.00
bb04,1,22224.77, 36.90, -14710.13, 0.00, 0.00, 0.00
bb04,1,22220.83, 36.90, -14710.46, 0.00, 0.00, 0.00
bb05,1,22178.04, 37.13, -14702.90, 0.48, 0.00, 0.88
bb02,1,22196.82, 37.50, -14706.70, -0.39, 0.00, 0.92
bb02,1,22187.81, 37.20, -14701.81, -0.97, 0.00, -0.23
bb04,1,22194.26, 36.90, -14700.67, 0.00, 0.00, 0.00
bb02,1,22167.75, 36.89, -14691.75, -0.00, 0.00, 1.00
bb02,1,22164.13, 37.20, -14683.80, 0.68, 0.00, -0.74
bb02,1,22160.45, 36.69, -14674.79, -0.10, 0.00, 1.00
bb02,1,22149.63, 28.80, -14672.93, 0.89, 0.00, 0.45
