48
∑¶≈Õ,2,0,21626.49, 33.16, -17115.79, 0.00, 0.00, -1.00
∑¶≈Õ,2,0,21686.51, 33.30, -17179.47, 0.00, 0.00, -1.00
∑¶≈Õ,2,0,21783.33, 30.08, -17289.74, 0.00, 0.00, -1.00
∑¶≈Õ,2,0,21614.62, 35.56, -17288.31, 0.00, 0.00, -1.00
∑¶≈Õ,2,0,21648.66, 64.01, -16989.90, 0.00, 0.00, -1.00
∑¶≈Õ,2,0,21881.19, 33.26, -17389.55, 0.00, 0.00, -1.00
∑¶≈Õ,2,0,21685.42, 31.45, -17273.53, 0.00, 0.00, -1.00
∑¶≈Õ,2,0,21533.87, 41.80, -17222.12, 0.00, 0.00, -1.00
∑¶≈Õ,2,0,21580.00, 39.13, -16986.54, 0.00, 0.00, -1.00
∏‰µ≈¡ˆ,2,0,21915.58, 40.61, -17254.01, 0.00, 0.00, -1.00
∏‰µ≈¡ˆ,2,0,21814.56, 30.00, -17348.87, 0.00, 0.00, -1.00
∏‰µ≈¡ˆ,2,0,21886.46, 39.62, -17268.91, 0.00, 0.00, -1.00
∏‰µ≈¡ˆ,2,0,21852.43, 33.42, -17244.75, 0.00, 0.00, -1.00
∏‰µ≈¡ˆ,2,0,21745.91, 38.22, -17306.55, 0.00, 0.00, -1.00
∏‰µ≈¡ˆ,2,0,21709.37, 37.73, -17242.40, 0.00, 0.00, -1.00
∏‰µ≈¡ˆ,2,0,21704.46, 32.50, -17344.29, 0.00, 0.00, -1.00
∏‰µ≈¡ˆ,2,0,21631.76, 31.11, -17267.39, 0.00, 0.00, -1.00
∏‰µ≈¡ˆ,2,0,21771.62, 40.79, -17184.64, 0.00, 0.00, -1.00
∏‰µ≈¡ˆ,2,0,21930.97, 37.04, -17219.33, 0.00, 0.00, -1.00
∏‰µ≈¡ˆ,2,0,21961.46, 35.18, -17243.66, 0.00, 0.00, -1.00
∏‰µ≈¡ˆ,2,0,21947.20, 34.50, -17155.76, 0.00, 0.00, -1.00
∏‰µ≈¡ˆ,2,0,21870.32, 32.00, -17299.79, 0.00, 0.00, -1.00
∏‰µ≈¡ˆ,2,0,21725.53, 40.43, -17222.12, 0.00, 0.00, -1.00
∏‰µ≈¡ˆ,2,0,21626.93, 42.63, -17151.39, 0.00, 0.00, -1.00
∏‰µ≈¡ˆ,2,0,21690.68, 59.71, -17046.97, 0.00, 0.00, -1.00
∏‰µ≈¡ˆ,2,0,21618.30, 40.04, -17084.67, 0.00, 0.00, -1.00
∏‰µ≈¡ˆ,2,0,21594.48, 40.57, -16985.03, 0.00, 0.00, -1.00
∏‰µ≈¡ˆ,2,0,21670.88, 68.15, -17047.95, 0.00, 0.00, -1.00
∏‰µ≈¡ˆ,2,0,21573.02, 48.19, -17057.43, 0.00, 0.00, -1.00
∏‰µ≈¡ˆ,2,0,21506.48, 37.39, -16972.17, 0.00, 0.00, -1.00
∏‰µ≈¡ˆ,2,0,21546.86, 39.91, -16946.34, 0.00, 0.00, -1.00
∏‰µ≈¡ˆ,2,0,21521.05, 38.11, -16979.05, 0.00, 0.00, -1.00
∏‰µ≈¡ˆ,2,0,21577.54, 36.69, -16946.86, 0.00, 0.00, -1.00
√µµ’πŸΩ«∏ÆΩ∫≈©,2,0,21871.70, 38.39, -16908.46, 0.00, 0.00, -1.00
√µµ’πŸΩ«∏ÆΩ∫≈©,2,0,21892.89, 36.46, -16988.33, 0.00, 0.00, -1.00
√µµ’πŸΩ«∏ÆΩ∫≈©,2,0,21883.97, 37.01, -17016.55, 0.00, 0.00, -1.00
√µµ’πŸΩ«∏ÆΩ∫≈©,2,0,21859.68, 49.07, -17047.61, 0.00, 0.00, -1.00
√µµ’πŸΩ«∏ÆΩ∫≈©,2,0,21907.68, 36.46, -16997.26, 0.00, 0.00, -1.00
√µµ’πŸΩ«∏ÆΩ∫≈©,2,0,21932.06, 38.04, -16978.17, 0.00, 0.00, -1.00
√µµ’πŸΩ«∏ÆΩ∫≈©,2,0,21867.13, 31.61, -17114.40, 0.00, 0.00, -1.00
√µµ’πŸΩ«∏ÆΩ∫≈©,2,0,21830.45, 36.50, -17148.01, 0.00, 0.00, -1.00
√µµ’πŸΩ«∏ÆΩ∫≈©,2,0,21953.71, 34.01, -17048.10, 0.00, 0.00, -1.00
√µµ’πŸΩ«∏ÆΩ∫≈©,2,0,21900.71, 39.78, -17052.54, 0.00, 0.00, -1.00
√µµ’πŸΩ«∏ÆΩ∫≈©,2,0,21920.69, 38.09, -17034.06, 0.00, 0.00, -1.00
√µµ’πŸΩ«∏ÆΩ∫≈©,2,0,21910.43, 33.89, -17132.68, 0.00, 0.00, -1.00
√µµ’πŸΩ«∏ÆΩ∫≈©,2,0,21747.25, 29.41, -17347.24, 0.00, 0.00, -1.00
√µµ’πŸΩ«∏ÆΩ∫≈©,2,0,21778.33, 35.62, -17401.65, 0.00, 0.00, -1.00
√µµ’πŸΩ«∏ÆΩ∫≈©,2,0,21732.00, 35.52, -17407.80, 0.00, 0.00, -1.00
